Designator,Mid X,Mid Y,Rotation,Layer
C1,143.4,-109.5,270.0,top
C10,129.95,-110.55,180.0,top
C11,145.6,-95.85,90.0,top
C12,129.025,-93.6,180.0,top
C13,129.95,-111.5,180.0,top
C14,153.6,-99.7,0.0,top
C15,153.6,-97.9,0.0,top
C16,149.5,-99.8,180.0,top
C17,146.1,-105.5,270.0,top
C18,132.475,-116.475,0.0,top
C19,142.48,-113.1,0.0,top
C2,144.6,-94.4,0.0,top
C20,133.925,-115.975,270.0,top
C21,142.98,-114.6,270.0,top
C22,132.49,-115.51,0.0,top
C23,133.6,-124.2,90.0,top
C24,135.35,-116.45,180.0,top
C28,137.01,-111.1,0.0,top
C3,126.125,-104.9,90.0,top
C32,148.6,-96.0,90.0,top
C33,153.8,-90.4,180.0,top
C34,153.6,-110.9,0.0,top
C35,153.6,-112.9,0.0,top
C36,148.9,-109.0,180.0,top
C37,148.7,-105.4,90.0,top
C38,153.6,-106.9,180.0,top
C39,148.7,-107.3,270.0,top
C4,125.65,-98.55,180.0,top
C40,147.6,-97.9,270.0,top
C5,125.6,-96.4,180.0,top
C6,123.725,-100.275,90.0,top
C7,125.6,-97.4,180.0,top
C8,127.1,-104.9,90.0,top
C9,141.95,-110.6,0.0,top
Card1,130.325,-124.7625,270.0,top
D1,119.2,-100.6,0.0,top
D2,119.225,-98.8,0.0,top
D3,119.25,-97.05,0.0,top
D4,150.9,-110.6,90.0,top
D5,147.9,-102.1,270.0,top
D6,119.2625,-89.05,0.0,top
D7,146.0,-102.1,90.0,top
D8,153.7,-108.9,0.0,top
J1,141.0,-85.225,90.0,top
J10,136.95,-80.825,90.0,top
J11,151.1,-126.7,270.0,top
J12,151.2,-123.05,270.0,top
J13,120.7,-72.875,90.0,top
J14,144.8,-97.74,0.0,bottom
J15,126.5,-85.175,90.0,top
J16,130.45,-74.205,180.0,top
J17,151.25,-130.4,270.0,top
J18,142.35,-74.215,180.0,top
J19,146.35,-72.3,90.0,bottom
J2,136.9,-85.225,90.0,top
J20,142.1,-119.2,270.0,top
J21,145.0,-85.225,90.0,top
J22,145.8,-80.825,90.0,top
J23,133.8,-78.1,270.0,top
J24,147.0,-78.1,270.0,top
J25,149.1,-119.25,270.0,top
J26,128.55,-80.8,90.0,top
J3,142.1,-126.7,270.0,top
J4,132.8,-85.225,90.0,top
J5,134.3,-72.3,90.0,bottom
J6,149.8,-72.85,90.0,top
J7,142.05,-130.45,270.0,top
J8,142.1,-123.05,270.0,top
J9,120.35,-80.775,90.0,top
L3,152.2,-94.1,0.0,top
L4,152.2,-103.2,0.0,top
R10,136.85,-78.8,90.0,top
R11,125.125,-104.9,90.0,top
R12,137.85,-76.9,270.0,top
R13,136.85,-76.9,90.0,top
R14,134.85,-76.9,270.0,top
R15,135.85,-76.9,90.0,top
R16,137.25,-116.46,180.0,top
R17,150.8,-119.8,270.0,top
R18,126.7,-94.125,0.0,top
R2,125.1,-108.3,0.0,top
R20,151.8,-119.8,270.0,top
R21,140.5,-113.1,180.0,top
R22,140.5,-112.1,180.0,top
R23,147.7,-107.3,90.0,top
R24,147.6,-96.0,90.0,top
R25,148.6,-97.9,90.0,top
R26,147.7,-105.4,90.0,top
R3,146.0,-100.0,180.0,top
R4,146.0,-98.9,0.0,top
R5,121.275,-94.37,90.0,top
R6,123.5,-96.45,0.0,top
R7,123.5,-95.4,0.0,top
R8,123.5,-94.4,0.0,top
R9,135.85,-78.8,270.0,top
SW1,119.25,-93.07,270.0,top
U2,136.35,-101.32,270.0,top
U3,121.09,-106.57,270.0,top
U5,141.13,-114.8,0.0,top
U6,132.9,-113.41,0.0,top
U7,137.04,-113.81,270.0,top
U8,150.5,-107.4,0.0,top
U9,150.2,-98.0,0.0,top
Y1,125.65,-100.5,180.0,top
